x,y,z,success
-69.8808,30.4531,-608.48,1
-70.0237,30.4438,-606.732,1
-70.3048,30.4649,-606.845,1
-70.5391,30.4093,-608.697,1
-70.7349,30.5104,-609.682,1
-70.7048,30.3123,-607.343,1
-70.9749,30.398,-608.004,1
-71.3625,30.3027,-609.2,1
-71.4925,30.306,-608.642,1
-71.5572,30.1296,-607.595,1
-71.6249,30.3604,-609.29,1
-71.603,30.494,-609.609,1
-71.503,30.6756,-609.788,1
-71.5049,30.735,-609.478,1
-71.5434,30.9535,-610.635,1
-71.5772,30.8575,-610.018,1
-71.6195,30.8456,-609.195,1
-71.627,30.8939,-609.573,1
-71.533,31.1396,-610.479,1
-71.4591,31.1205,-609.815,1
-71.4032,31.1011,-608.917,1
-71.3152,31.1116,-608.813,1
-71.1259,31.1559,-609.308,1
-70.9835,31.0499,-607.647,1
-70.8492,30.8006,-608.464,1
-70.6729,30.7039,-608.644,1
-70.4722,30.6881,-607.982,1
-70.2712,30.5385,-607.442,1
-69.8913,30.2917,-607.538,1
-69.2657,29.9909,-605.493,1
-68.6588,29.5473,-606.42,1
-68.237,29.1509,-605.958,1
-67.641,28.6377,-606.852,1
-67.1538,28.2231,-606.235,1
-66.5087,27.6108,-605.663,1
-66.1258,27.3656,-606.696,1
-65.5676,27.0203,-606.318,1
-65.1473,26.8081,-604.663,1
-65.0139,26.7074,-605.325,1
-64.9279,26.7132,-604.944,1
-64.7656,26.6023,-603.52,1
-64.6068,26.6288,-603.727,1
-64.3701,26.5229,-602.627,1
-64.2613,26.501,-603.684,1
-63.972,26.6473,-603.798,1
-63.7417,26.7127,-603.383,1
-63.7629,26.8582,-604.631,1
-63.7537,26.6081,-603.467,1
-63.8135,26.472,-603.523,1
-63.9887,26.2421,-603.815,1
-63.9041,26.0833,-604.31,1
-63.5905,25.7336,-601.807,1
-63.6786,25.6236,-602.357,1
-63.6254,25.5643,-601.736,1
-63.5955,25.2684,-601.209,1
-63.533,24.9444,-601.094,1
-63.5241,24.6682,-601.951,1
-63.393,24.595,-602.487,1
-63.4151,24.5285,-602.535,1
-63.4253,24.5653,-601.658,1
-63.5211,24.6926,-600.49,1
-63.9793,24.6819,-600.417,1
-64.1661,24.7123,-600.985,1
-64.2484,24.6274,-602.062,1
-64.2959,24.5874,-603.208,1
-64.3534,24.5143,-602.212,1
-64.4123,24.3822,-602.034,1
-64.6006,24.2835,-601.843,1
-64.8142,24.0597,-602.143,1
-64.9369,24.0811,-602.009,1
-64.8865,24.058,-601.941,1
-64.8317,24.0413,-602.36,1
-64.8456,24.1257,-602.321,1
-64.7901,24.0399,-601.687,1
-64.7071,23.795,-601.908,1
-64.6677,23.6673,-601.52,1
-64.7043,23.3464,-601.484,1
-64.6959,22.9569,-600.657,1
-64.7619,22.7606,-602.047,1
-64.7995,22.6422,-600.816,1
-64.9756,22.767,-602.01,1
-65.1638,22.7616,-601.665,1
-65.2173,22.8244,-602.244,1
-65.1041,22.7351,-601.648,1
-64.9587,22.5151,-600.379,1
-64.9725,22.3721,-601.056,1
-65.247,22.1796,-601.175,1
-65.1877,22.0669,-600.652,1
-65.153,21.989,-600.795,1
-64.8021,22.0877,-600.659,1
-64.5887,22.1016,-600.973,1
-64.4732,22.0407,-599.988,1
-64.3055,21.9344,-599.315,1
-64.3365,21.9127,-599.829,1
-64.3312,21.8409,-600.099,1
-64.2293,21.9788,-600.238,1
-64.0223,22.0004,-598.614,1
-64.1003,22.1681,-599.426,1
-64.0607,22.2206,-598.436,1
-64.0202,22.396,-599.227,1
-63.9667,22.5084,-598.794,1
-64.163,22.6319,-600.002,1
-64.0577,22.6442,-598.968,1
-64.0065,22.7136,-599.339,1
-64.0521,22.896,-600.049,1
-63.9682,22.7933,-598.05,1
-64.0761,22.7515,-599.459,1
-64.0769,22.6683,-599.403,1
-64.1359,22.6212,-600.049,1
-64.2781,22.6524,-601.226,1
-64.0742,22.5285,-599.027,1
-64.1451,22.5897,-600.398,1
-64.1794,22.6433,-600.864,1
-64.2966,22.5558,-600.261,1
-64.4435,22.6718,-599.691,1
-64.5066,22.9921,-598.615,1
-64.8435,23.328,-600.323,1
-65.0373,23.5928,-600.64,1
-65.1729,23.9846,-601.577,1
-65.2621,24.2803,-600.605,1
-65.6009,24.7063,-601.001,1
-65.6609,24.8365,-600.949,1
-65.6823,25.4752,-601.813,1
-65.4434,25.1486,-600.402,1
-65.6097,25.7172,-602.274,1
-65.8392,25.5225,-601.006,1
-65.9078,25.6533,-603.57,1
-66.1857,25.8359,-603.618,1
-66.2099,25.4209,-602.886,1
-66.3044,25.5373,-602.417,1
-66.2927,25.4359,-602.087,1
-66.272,25.3311,-602.151,1
-66.4534,25.2383,-602.363,1
