 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
421,6,255,255,255,999.500,588.667,999.500,588.667,8
422,4,255,255,255,1057,589,1057,589,8
423,3,255,255,255,1053.167,591.833,1053.167,591.833,8
424,10,255,255,255,1065.200,592.700,1065.200,592.700,8
425,2,255,255,255,1013,600.500,1013,600.500,8
426,2,255,255,255,1044.500,603,1044.500,603,8
427,4,255,255,255,1028,604,1028,604,8
428,1,255,255,255,1037.500,607.500,1037.500,607.500,8
429,4,255,255,255,1019,608.500,1019,608.500,8
430,1,255,255,255,917.500,637.500,917.500,637.500,8
431,78,255,255,255,1026.013,648.423,1026.013,648.423,8
432,146,255,255,255,872.596,245.103,872.596,245.103,9
433,156,255,255,255,933.167,246.186,933.167,246.186,9
434,15,255,255,255,1097.567,252.433,1097.567,252.433,9
435,2,255,255,255,1128,269.500,1128,269.500,9
436,2,255,255,255,1085,303.500,1085,303.500,9
437,3,255,255,255,1165.167,328.833,1165.167,328.833,9
438,340,255,255,255,765.709,335.968,765.709,335.968,9
439,194,255,255,255,687.768,339.892,687.768,339.892,9
440,5,255,255,255,1166.700,335.900,1166.700,335.900,9
441,7,255,255,255,1162.500,350.500,1162.500,350.500,9
442,8,255,255,255,1147.500,352,1147.500,352,9
443,358,255,255,255,957.249,365.880,957.249,365.880,9
444,1,255,255,255,1131.500,364.500,1131.500,364.500,9
445,4,255,255,255,1160,369.500,1160,369.500,9
446,1,255,255,255,1166.500,369.500,1166.500,369.500,9
447,9,255,255,255,1166.278,374.056,1166.278,374.056,9
448,5,255,255,255,1184.900,374.300,1184.900,374.300,9
449,339,255,255,255,1061.777,383.353,1061.777,383.353,9
450,13,255,255,255,1171.808,376.654,1171.808,376.654,9
451,11,255,255,255,1112.773,380.591,1112.773,380.591,9
452,2,255,255,255,1158,384.500,1158,384.500,9
453,2,255,255,255,1180,384.500,1180,384.500,9
454,7,255,255,255,1092.929,386.214,1092.929,386.214,9
455,115,255,255,255,765.317,402.300,765.317,402.300,9
456,3,255,255,255,1174.500,407.500,1174.500,407.500,9
457,3,255,255,255,1183.167,407.167,1183.167,407.167,9
458,499,255,255,255,627.544,423.468,627.544,423.468,9
459,458,255,255,255,957.090,436.273,957.090,436.273,9
460,232,255,255,255,777.862,460.569,777.862,460.569,9
461,9,255,255,255,1138.611,465.389,1138.611,465.389,9
462,263,255,255,255,692.766,477.112,692.766,477.112,9
463,1,255,255,255,1175.500,482.500,1175.500,482.500,9
464,1,255,255,255,1098.500,500.500,1098.500,500.500,9
465,21,255,255,255,1041.881,542.929,1041.881,542.929,9
466,22,255,255,255,1080.409,548,1080.409,548,9
467,84,255,255,255,1051.214,558.107,1051.214,558.107,9
468,73,255,255,255,938.171,552.336,938.171,552.336,9
469,211,255,255,255,880.538,561.244,880.538,561.244,9
470,1,255,255,255,1007.500,563.500,1007.500,563.500,9
471,6,255,255,255,1034,569.500,1034,569.500,9
472,3,255,255,255,1028.167,573.833,1028.167,573.833,9
473,12,255,255,255,1058.417,576.250,1058.417,576.250,9
474,8,255,255,255,1052.375,579.250,1052.375,579.250,9
475,3,255,255,255,1012.500,579.500,1012.500,579.500,9
476,15,255,255,255,1005.500,583.500,1005.500,583.500,9
477,192,255,255,255,1036.068,595.276,1036.068,595.276,9
478,1,255,255,255,1060.500,586.500,1060.500,586.500,9
479,2,255,255,255,999,589.500,999,589.500,9
480,6,255,255,255,1065,593,1065,593,9
481,1,255,255,255,1019.500,596.500,1019.500,596.500,9
482,1,255,255,255,1011.500,601.500,1011.500,601.500,9
483,3,255,255,255,1045.500,602.500,1045.500,602.500,9
484,2,255,255,255,1017,603.500,1017,603.500,9
485,1,255,255,255,1037.500,607.500,1037.500,607.500,9
486,7,255,255,255,1018.071,608.786,1018.071,608.786,9
487,6,255,255,255,1035,627,1035,627,9
