 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
309,361,255,255,255,645.503,366.727,645.503,366.727,18
310,264,255,255,255,815.693,391.504,815.693,391.504,18
311,282,255,255,255,499.383,415.362,499.383,415.362,18
312,371,255,255,255,959.061,420.810,959.061,420.810,18
313,233,255,255,255,628.800,423.594,628.800,423.594,18
314,316,255,255,255,814.532,462.652,814.532,462.652,18
315,229,255,255,255,650.723,472.491,650.723,472.491,18
316,240,255,255,255,566.671,491.404,566.671,491.404,18
317,32,255,255,255,756.688,491.156,756.688,491.156,18
318,68,255,255,255,758.500,503.191,758.500,503.191,18
319,259,255,255,255,748.230,555.098,748.230,555.098,18
320,129,255,255,255,800.616,563.508,800.616,563.508,18
321,312,255,255,255,755.455,276.138,755.455,276.138,19
322,185,255,255,255,811.884,284.927,811.884,284.927,19
323,16,255,255,255,759.688,328.438,759.688,328.438,19
324,214,255,255,255,572.168,336.192,572.168,336.192,19
325,1,255,255,255,765.500,340.500,765.500,340.500,19
326,1,255,255,255,764.500,344.500,764.500,344.500,19
327,4,255,255,255,758,351.500,758,351.500,19
328,372,255,255,255,646.062,369.804,646.062,369.804,19
329,264,255,255,255,816.061,395.989,816.061,395.989,19
330,262,255,255,255,499.985,417.271,499.985,417.271,19
331,363,255,255,255,958.944,425.607,958.944,425.607,19
332,231,255,255,255,628.981,427.323,628.981,427.323,19
333,316,255,255,255,814.313,467.434,814.313,467.434,19
334,218,255,255,255,650.115,475.472,650.115,475.472,19
335,18,255,255,255,759.056,483.389,759.056,483.389,19
336,244,255,255,255,566.242,493.746,566.242,493.746,19
337,11,255,255,255,753.045,500.136,753.045,500.136,19
338,266,255,255,255,747.079,558.323,747.079,558.323,19
339,116,255,255,255,800.534,566.578,800.534,566.578,19
340,2,255,255,255,405,138.500,405,138.500,20
341,313,255,255,255,756.567,279.845,756.567,279.845,20
342,177,255,255,255,813.088,289.410,813.088,289.410,20
343,210,255,255,255,572.576,338.986,572.576,338.986,20
344,17,255,255,255,760.559,342.971,760.559,342.971,20
345,1,255,255,255,766.500,352.500,766.500,352.500,20
346,372,255,255,255,646.890,373.495,646.890,373.495,20
347,259,255,255,255,816.438,400.859,816.438,400.859,20
348,270,255,255,255,500.130,419.830,500.130,419.830,20
349,371,255,255,255,958.737,431.071,958.737,431.071,20
350,223,255,255,255,629.195,430.576,629.195,430.576,20
351,327,255,255,255,813.989,472.090,813.989,472.090,20
352,222,255,255,255,649.608,478.838,649.608,478.838,20
353,239,255,255,255,566.132,496.328,566.132,496.328,20
354,7,255,255,255,759.643,505.214,759.643,505.214,20
355,43,255,255,255,756.733,511.942,756.733,511.942,20
356,254,255,255,255,746.079,561.362,746.079,561.362,20
357,114,255,255,255,799.386,570.404,799.386,570.404,20
358,310,255,255,255,757.655,283.655,757.655,283.655,21
359,177,255,255,255,813.867,293.528,813.867,293.528,21
360,214,255,255,255,573.360,342.360,573.360,342.360,21
361,4,255,255,255,760,343.500,760,343.500,21
362,379,255,255,255,647.482,377.307,647.482,377.307,21
363,272,255,255,255,816.790,406.081,816.790,406.081,21
364,260,255,255,255,500.692,422.600,500.692,422.600,21
365,230,255,255,255,630.357,434.913,630.357,434.913,21
366,372,255,255,255,958.161,436.478,958.161,436.478,21
367,305,255,255,255,814.202,476.969,814.202,476.969,21
368,210,255,255,255,649.648,482.405,649.648,482.405,21
369,245,255,255,255,566.345,499.451,566.345,499.451,21
370,3,255,255,255,762.500,508.500,762.500,508.500,21
371,15,255,255,255,758.100,515.833,758.100,515.833,21
372,247,255,255,255,745.557,564.451,745.557,564.451,21
373,118,255,255,255,797.856,574.220,797.856,574.220,21
374,307,255,255,255,758.643,287.572,758.643,287.572,22
375,184,255,255,255,815.098,298.234,815.098,298.234,22
376,206,255,255,255,574.175,345.515,574.175,345.515,22
377,1,255,255,255,759.500,348.500,759.500,348.500,22
378,12,255,255,255,765,365,765,365,22
379,374,255,255,255,647.850,380.981,647.850,380.981,22
380,261,255,255,255,817.216,410.937,817.216,410.937,22
381,264,255,255,255,500.777,425.360,500.777,425.360,22
382,231,255,255,255,631.275,438.413,631.275,438.413,22
383,376,255,255,255,958.367,441.731,958.367,441.731,22
384,9,255,255,255,468.389,466.278,468.389,466.278,22
385,318,255,255,255,814.035,481.528,814.035,481.528,22
386,201,255,255,255,649.649,486.002,649.649,486.002,22
387,245,255,255,255,566.173,502.051,566.173,502.051,22
388,2,255,255,255,758,494.500,758,494.500,22
389,2,255,255,255,755,521.500,755,521.500,22
390,237,255,255,255,744.715,567.804,744.715,567.804,22
391,110,255,255,255,797.182,577.927,797.182,577.927,22
392,316,255,255,255,759.930,291.278,759.930,291.278,23
393,187,255,255,255,815.794,302.238,815.794,302.238,23
394,211,255,255,255,575.040,348.017,575.040,348.017,23
395,7,255,255,255,764.500,343.500,764.500,343.500,23
396,6,255,255,255,768,359.500,768,359.500,23
397,8,255,255,255,765,369.500,765,369.500,23
398,377,255,255,255,648.749,384.495,648.749,384.495,23
399,261,255,255,255,817.619,415.125,817.619,415.125,23
400,268,255,255,255,500.888,427.687,500.888,427.687,23
401,234,255,255,255,631.209,442.688,631.209,442.688,23
402,381,255,255,255,958.484,446.681,958.484,446.681,23
403,304,255,255,255,814.135,485.901,814.135,485.901,23
404,182,255,255,255,649.769,489.632,649.769,489.632,23
405,247,255,255,255,566.362,504.711,566.362,504.711,23
406,1,255,255,255,761.500,507.500,761.500,507.500,23
407,1,255,255,255,751.500,512.500,751.500,512.500,23
408,48,255,255,255,757.250,521.167,757.250,521.167,23
409,237,255,255,255,744.162,570.918,744.162,570.918,23
410,102,255,255,255,796.725,580.971,796.725,580.971,23
411,1,255,255,255,396.500,231.500,396.500,231.500,24
412,318,255,255,255,760.660,295.186,760.660,295.186,24
